Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-04-22 21:08 (GMT),On Demand,Jess Sims,10,Cardio,HIIT,10 min HIIT Cardio,2020-04-10 14:30 (GMT),,,,,,,12,,,
2020-04-22 21:15 (GMT),On Demand,Robin Arzon,30,Cycling,Music,30 min Pop Ride: Live from Home,2020-04-22 14:53 (GMT),0,0,0%,0,0,0,10,,,
2020-04-22 21:22 (GMT),On Demand,Sam Yo,30,Cycling,Music,30 min Pop Ride,2020-04-03 09:00 (GMT),0,0,0%,0,0,0,7,,,
2020-04-22 21:38 (GMT),On Demand,Selena Samuela,30,Running,Theme Run,30 min Earth Day Run,2020-04-22 16:00 (GMT),0,,,,0,0,10,,0,
2020-04-22 22:01 (GMT),On Demand,Rebecca Kennedy,20,Cardio,HIIT,20 min HIIT Cardio,2019-09-18 01:02 (GMT),,,,,,,10,,,
2020-04-25 09:47 (GMT),On Demand,Jess Sims,15,Cardio,Family,15 min Fit Family Fun,2020-04-03 15:30 (GMT),,,,,,,6,,,
2020-04-26 14:12 (GMT),On Demand,Matty Maggiacomo,45,Running,Music Run,45 min 80s Run,2020-03-27 15:00 (GMT),0,,,,0,0,3,,0,
2020-05-18 20:06 (GMT),On Demand,Andy Speer,30,Running,Intervals Run,30 min Intervals Run,2020-05-08 16:00 (GMT),0,,,,0,0,271,,0,
2020-05-19 07:57 (GMT),On Demand,Matty Maggiacomo,30,Running,Intervals Run,30 min HIIT Run,2019-12-19 16:00 (GMT),0,,,,0,0,59,,0,
2020-05-19 08:05 (GMT),On Demand,Andy Speer,45,Running,Intervals Run,45 min Intervals Run,2019-11-21 16:00 (GMT),0,,,,0,0,8,,0,
2020-06-08 21:35 (GMT),On Demand,Andy Speer,30,Running,Intervals Run,30 min HIIT Run,2020-06-03 14:00 (GMT),0,,,,0,0,279,,0,
2020-06-09 13:14 (GMT),On Demand,Andy Speer,30,Running,Intervals Run,30 min HIIT Run,2020-06-03 14:00 (GMT),0,,,,0,0,3,,0,
2020-06-21 23:47 (GMT),On Demand,Selena Samuela,30,Running,Intervals Run,30 min Intervals Run,2020-06-19 16:00 (GMT),0,,,,0,0,10,,0,
2020-06-21 23:49 (GMT),On Demand,Andy Speer,30,Running,Intervals Run,30 min Intervals Run,2020-05-08 16:00 (GMT),0,,,,0,0,13,,0,
2020-06-21 23:51 (GMT),On Demand,Andy Speer,30,Running,Intervals Run,30 min HIIT Run,2020-06-03 14:00 (GMT),0,,,,0,0,25,,0,
2020-06-22 21:28 (GMT),On Demand,Selena Samuela,30,Running,Intervals Run,30 min Intervals Run,2020-06-19 16:00 (GMT),0,,,,0,0,287,,0,
